FIPS,State,County,% Fair/Poor
06000,California,,18
06001,California,Alameda,13
06003,California,Alpine,16
06005,California,Amador,13
06007,California,Butte,15
06009,California,Calaveras,12
06011,California,Colusa,21
06013,California,Contra Costa,14
06015,California,Del Norte,17
06017,California,El Dorado,12
06019,California,Fresno,22
06021,California,Glenn,20
06023,California,Humboldt,15
06025,California,Imperial,28
06027,California,Inyo,14
06029,California,Kern,21
06031,California,Kings,22
06033,California,Lake,18
06035,California,Lassen,14
06037,California,Los Angeles,21
06039,California,Madera,23
06041,California,Marin,11
06043,California,Mariposa,13
06045,California,Mendocino,17
06047,California,Merced,23
06049,California,Modoc,16
06051,California,Mono,14
06053,California,Monterey,20
06055,California,Napa,14
06057,California,Nevada,12
06059,California,Orange,13
06061,California,Placer,11
06063,California,Plumas,14
06065,California,Riverside,18
06067,California,Sacramento,16
06069,California,San Benito,18
06071,California,San Bernardino,21
06073,California,San Diego,14
06075,California,San Francisco,11
06077,California,San Joaquin,19
06079,California,San Luis Obispo,13
06081,California,San Mateo,12
06083,California,Santa Barbara,17
06085,California,Santa Clara,11
06087,California,Santa Cruz,14
06089,California,Shasta,15
06091,California,Sierra,13
06093,California,Siskiyou,17
06095,California,Solano,16
06097,California,Sonoma,13
06099,California,Stanislaus,20
06101,California,Sutter,17
06103,California,Tehama,17
06105,California,Trinity,15
06107,California,Tulare,26
06109,California,Tuolumne,13
06111,California,Ventura,15
06113,California,Yolo,16
06115,California,Yuba,18
